id,label,clean_label,students,degree,degree_centrality,weighted_degree,betweenness,closeness,pagerank,community,community_size,country,city,state
Mount Union College,Mount Union College,Mount Union College,1,1,0.002421307506053269,1,0.0,0.002421307506053269,0.0027612867596299075,12,2,United States,Alliance,Ohio
Multnomah University,Multnomah University,Multnomah University,1,1,0.002421307506053269,1,0.0,0.22813461160918785,0.0006681154607925829,8,24,United States,Portland,Oregon
Nankai School,南開學校,Nankai School,1,3,0.007263922518159807,3,0.0,0.283730441329074,0.0009937581902898559,9,19,China,Tianjin,Tianjin
Nankai University,南開大學,Nankai University,21,18,0.04358353510895884,22,0.01060034398106417,0.3306136843883457,0.005265981246971379,2,48,China,Tianjin,Tianjin
Nanking Higher Normal School,南京高等師範學校,Nanking Higher Normal School,1,0,0.0,0,0.0,0.0,0.00041419301394496577,50,1,China,Nanjing,Jiangsu
National College of Education,National College of Education,National College of Education,1,0,0.0,0,0.0,0.0,0.00041419301394496577,51,1,United States,Evanston,Illinois
National College of Music,國主音樂專科學校,National College of Music,1,1,0.002421307506053269,1,0.0,0.2548220567408287,0.00059693687916026,1,62,China,Shanghai,Shanghai
National Defense Planning Commission,國防設計委員會,National Defense Planning Commission,1,1,0.002421307506053269,1,0.0,0.2560297442135341,0.000603122330247627,2,48,China,Nanjing,Jiangsu
National Guangdong Specialized School,國立廣東專門學校,National Guangdong Specialized School,1,1,0.002421307506053269,1,0.0,0.21053108351151867,0.0008836297313539012,6,31,China,Guangzhou,Guangdong
Naval school,海軍學校,Naval school,1,0,0.0,0,0.0,0.0,0.00041419301394496577,52,1,China,Fuzhou,Fujian
Neurological Institute,Neurological Institute,Neurological Institute,1,1,0.002421307506053269,1,0.0,0.2548220567408287,0.00059693687916026,1,62,United States,New York,New York
