student,stage1,stage1_display,stage1_year,stage1_levels,stage1_country,stage2,stage2_display,stage2_year,stage2_levels,stage2_country,stage3,stage3_display,stage3_year,stage3_levels,stage3_country
N01440,University of Hong Kong,University of Hong Kong,1938,['Unspecified'],Other,Harvard University,Harvard University,1940,['Master'],US,University of Illinois,University of Illinois,1941,['Unspecified'],US
N01441,Jiaotong University,交通大學,1935,['Unspecified'],China,Air Force Technical College,空軍技術專門學校,1938,['Unspecified'],China,University of Toronto,University of Toronto,1941,['Master'],Other
N01441,Air Force Technical College,空軍技術專門學校,1938,['Unspecified'],China,University of Toronto,University of Toronto,1941,['Master'],Other,California Institute of Technology,California Institute of Technology,1943,['Unspecified'],US
N01461,Ohio Wesleyan University,Ohio Wesleyan University,1940,['Bachelor'],US,University of Chicago,University of Chicago,1942,['Master'],US,University of California,University of California,1943,['Unspecified'],US
N01464,Jiaotong University,交通大學,1936,['Unspecified'],China,University of London,University of London,1939,['Other degree'],Other,Cornell University,Cornell University,1943,['Unspecified'],US
N01465,St. John's University,聖約翰大學,1937,['Unspecified'],China,Stanford University,Stanford University,1940,['Bachelor'],US,University of Michigan,University of Michigan,1941,['Master'],US
N01465,Stanford University,Stanford University,1940,['Bachelor'],US,University of Michigan,University of Michigan,1941,['Master'],US,Columbia University,Columbia University,1942,['Unspecified'],US
N01466,Jiaotong University,交通大學,1938,['Unspecified'],China,Purdue University,Purdue University,1940,['Bachelor'],US,University of Michigan,University of Michigan,1942,['Master'],US
N01492,Central University,中央大學,1934,['Unspecified'],China,University of Toronto,University of Toronto,1942,['Master'],Other,Harvard University,Harvard University,1943,['Unspecified'],US
N01495,Jiaotong University,交通大學,1941,['Unspecified'],China,University of Illinois,University of Illinois,1942,['Bachelor'],US,Harvard University,Harvard University,1943,['Unspecified'],US
N01496,Yenching University,燕京大學,1932,['Unspecified'],China,Zhongshan University,中山大學,1936,['Unspecified'],China,Arizona State Teachers' College,Arizona State Teachers' College,1942,['Unspecified'],US
N01498,Yenching University,燕京大學,1933,['Unspecified'],China,Peking Union Medical College,協和醫學院,1938,['Unspecified'],China,Harvard University,Harvard University,1943,['Unspecified'],US
N01517,Zhongshan University,中山大學,1935,['Unspecified'],China,University of Toronto,University of Toronto,1942,['Unspecified'],Other,Clark University,Clark University,1943,['Unspecified'],US
N01529,Jinling University,金陵大學,1931,['Unspecified'],China,Tsinghua University,清華大學,1934,['Unspecified'],China,University of Chicago,University of Chicago,1943,['Unspecified'],US
N01539,Jiaotong University,交通大學,1935,['Unspecified'],China,University of London,University of London,1939,['Other degree'],Other,Massachusetts Institute of Technology,Massachusetts Institute of Technology,1943,['Unspecified'],US
N01545,St. John's University,聖約翰大學,1940,['Unspecified'],China,University of Illinois,University of Illinois,1941,['Unspecified'],US,Harvard University,Harvard University,1943,['Unspecified'],US
N01575,Stanford University,Stanford University,1916,['Unspecified'],US,Columbia University,Columbia University,1917,['Master'],US,Clark University,Clark University,1919,['Doctorate'],US
N01581,Syracuse University,Syracuse University,1920,['Unspecified'],US,Duke University,Duke University,1928,['Unspecified'],US,Cambridge University,Cambridge University,1930,['Unspecified'],Other
